Unnamed: 0,ID,empatica_bvp,empatica_eda,empatica_temp,samsung_bvp,CL
97,0,0.4460865843,-0.1434072862,1.1531080995,-0.4782467832,1
98,0,0.5301970704,-0.1543065877,1.1531080995,-0.4805884020,1
99,0,-1.1818555344,-0.1543065877,1.1531080995,-0.5486964305,1
100,0,0.5953009948,-0.1543065877,1.1531080995,-0.5317278017,1
101,0,-0.0139696864,-0.1615727887,1.1531080995,-0.5232856494,1
102,0,0.3454062808,-0.1652030530,1.1531080995,-0.5399040084,1
103,0,-0.2808929037,-0.1579396882,1.1531080995,-0.5239245676,1
104,0,-1.0839559682,-0.1833685556,1.1776900119,-0.6140087866,1
105,0,0.8541973196,-0.1833685556,1.1531080995,-0.6204725629,1
106,0,-0.5202379783,-0.1688361536,1.1531080995,-0.5305959112,1
107,0,-0.6288305157,-0.1652030530,1.1531080995,-0.4939408189,1
108,0,0.0900360602,-0.1724692541,1.1531080995,-0.4590695083,1
109,0,0.8307472817,-0.1724692541,1.1531080995,-0.4192976629,1
110,0,-0.2642084106,-0.1833685556,1.1285261872,-0.3801971680,1
111,0,0.0365998083,-0.1906347566,1.1285261872,-0.2927432162,1
112,0,0.2933460696,-0.1978981214,1.1285261872,-0.2626589270,1
113,0,-0.4150568693,-0.2015312219,1.1285261872,-0.2635248720,1
114,0,0.1306292600,-0.2233269888,1.1285261872,-0.3095691425,1
115,0,-0.0223692623,-0.2124305235,1.1531080995,-0.3235896666,1
116,0,0.5474835814,-0.2124305235,1.1531080995,-0.3048891479,1
117,0,0.0232407582,-0.2124305235,1.1531080995,-0.2706048637,1
118,0,-0.0731967647,-0.2015312219,1.1531080995,-0.2344686897,1
119,0,0.0121177571,-0.2233269888,1.1285261872,-0.2034795368,1
120,0,0.9925467366,-0.2196938883,1.1039442748,-0.1576428336,1
121,0,0.6516326598,-0.2124305235,1.1039442748,-0.1410082584,1
122,0,0.9775822942,-0.2160636240,1.1531080995,-0.1213866597,1
123,0,0.5839773325,-0.2160636240,1.1531080995,-0.1036818156,1
124,0,-0.8762885024,-0.2269600893,1.1531080995,-0.1064158664,1
125,0,0.6956659614,-0.2196938883,1.1531080995,-0.1019110068,1
126,0,-2.5241832108,-0.1978981214,1.1285261872,-0.0712364481,1
127,0,0.1594401116,-0.1942650209,1.1285261872,-0.0468408009,1
128,0,-0.0148870411,-0.1978981214,1.1039442748,-0.0442721553,1
129,0,-0.5820738060,-0.2015312219,1.1039442748,-0.0547964673,1
130,0,0.5436994695,-0.1978981214,1.1039442748,-0.0882699417,1
131,0,1.1424491674,-0.2087974230,1.1039442748,-0.0746418495,1
132,0,-1.3280598559,-0.2015312219,1.1285261872,-0.0723456360,1
133,0,0.3542358694,-0.2160636240,1.1285261872,-0.0699845577,1
134,0,0.3134133352,-0.2015312219,1.1285261872,-0.0838494063,1
135,0,0.1808547446,-0.2233269888,1.1039442748,-0.1710925476,1
136,0,-0.4788707556,-0.2124305235,1.1039442748,-0.2497670502,1
137,0,-0.4940358762,-0.2124305235,1.1285261872,-0.1839228029,1
138,0,0.9119623546,-0.2124305235,1.1285261872,-0.1507704092,1
139,0,-0.1542971618,-0.2051643225,1.1039442748,-0.1438655524,1
140,0,0.4558335448,-0.2087974230,1.1039442748,-0.2985680743,1
141,0,0.5448175026,-0.2124305235,1.1039442748,-0.2731832391,1
142,0,0.6761433843,-0.2233269888,1.0793623625,-0.2900610572,1
